flow_id,src_ip,dst_ip,src_port,dst_port,protocol,bytes,packets,duration_ms,label
F00029,10.0.1.143,203.0.113.23,28882,6667,UDP,3354812,1166,424,anomaly
F00030,10.0.4.155,192.168.4.24,28973,53,UDP,2757,6,4910,benign
F00031,10.0.1.32,192.168.1.11,64954,443,TCP,1197,28,4821,benign
F00032,10.0.1.134,192.168.0.51,19921,3389,TCP,698,67,3343,benign
F00033,10.0.3.101,192.168.9.185,57490,22,TCP,35431,17,832,benign
F00034,10.0.1.246,192.168.0.106,22375,443,UDP,11339,60,3923,benign
F00035,10.0.1.218,192.168.0.214,49612,53,TCP,2840,48,4655,benign
F00036,10.0.4.141,192.168.8.204,29885,80,ICMP,4840,11,4008,benign
F00037,10.0.3.162,192.168.1.12,10069,80,UDP,11455,17,4872,benign
F00038,10.0.0.181,203.0.113.17,8558,31337,TCP,2470599,3421,431,anomaly
F00039,10.0.2.135,192.168.6.67,58626,80,TCP,4489,93,899,benign
F00040,10.0.4.237,192.168.3.23,27789,445,TCP,3539,5,3061,benign
F00041,10.0.1.162,192.168.2.166,50749,80,TCP,6763,39,294,benign
F00042,10.0.1.142,192.168.7.46,30927,80,TCP,12411,40,4764,benign
F00043,10.0.1.116,203.0.113.27,54528,6667,TCP,1312318,5313,141,anomaly
F00044,10.0.1.186,192.168.9.61,25310,53,TCP,10773,53,4911,benign
F00045,10.0.1.94,192.168.2.48,25003,22,TCP,15156,111,1243,benign
F00046,10.0.2.7,203.0.113.47,54151,4444,TCP,1659881,5323,358,anomaly
F00047,10.0.4.244,192.168.2.201,54517,443,UDP,7114,86,1619,benign
F00048,10.0.2.95,192.168.8.136,46753,80,TCP,6004,53,2906,benign
F00049,10.0.1.55,192.168.6.53,18481,443,ICMP,4550,49,4447,benign
F00050,10.0.3.237,192.168.2.117,49116,443,TCP,4068,48,1608,benign
F00051,10.0.0.119,192.168.0.87,25314,445,TCP,2731,4,4133,benign
F00052,10.0.1.166,192.168.9.68,15342,80,UDP,7200,35,1671,benign
F00053,10.0.0.124,192.168.5.34,14299,53,UDP,4884,88,2579,benign
F00054,10.0.2.138,192.168.6.153,16974,3389,UDP,9137,110,4720,benign
F00055,10.0.3.75,192.168.5.119,63052,445,UDP,1999,32,807,benign
F00056,10.0.0.242,192.168.9.134,6152,80,TCP,6975,14,4761,benign
F00057,10.0.1.194,192.168.9.57,2426,3389,TCP,2217,78,4057,benign
F00058,10.0.2.29,192.168.7.28,3924,80,TCP,6433,50,3037,benign
F00059,10.0.4.7,192.168.3.223,19174,3389,TCP,2489,24,4434,benign
F00060,10.0.3.56,192.168.7.10,5889,443,ICMP,7229,70,32,benign
F00061,10.0.0.238,192.168.4.215,20882,445,UDP,6563,112,4786,benign
F00062,10.0.1.39,192.168.5.185,13914,80,UDP,5957,66,3338,benign
F00063,10.0.1.49,192.168.1.174,8702,443,TCP,6268,70,4208,benign
F00064,10.0.3.206,192.168.3.204,31173,443,ICMP,8228,68,1562,benign
F00065,10.0.3.241,192.168.1.13,12373,443,TCP,5630,42,4908,benign
F00066,10.0.2.226,192.168.3.23,25406,443,TCP,43696,115,2162,benign
F00067,10.0.0.251,192.168.3.227,45675,80,UDP,15927,107,2356,benign
F00068,10.0.0.65,192.168.2.77,39304,80,TCP,2936,10,216,benign
F00069,10.0.4.17,192.168.9.73,43008,443,ICMP,3293,13,4271,benign
F00070,10.0.3.81,192.168.3.19,6235,80,TCP,2972,1,139,benign
F00071,10.0.1.16,192.168.2.78,21951,80,TCP,4941,13,2750,benign
F00072,10.0.3.16,192.168.8.150,4232,80,UDP,569,71,1549,benign
F00073,10.0.4.25,192.168.0.111,2072,443,TCP,4559,90,4537,benign
F00074,10.0.0.222,192.168.0.145,58179,80,UDP,2975,31,1739,benign
F00075,10.0.4.166,192.168.4.119,14534,443,TCP,4809,37,103,benign
F00076,10.0.3.77,192.168.1.163,26150,80,TCP,1974,63,1671,benign
F00077,10.0.3.26,192.168.5.186,36923,80,TCP,2855,21,4134,benign
F00078,10.0.1.121,192.168.1.19,37344,443,TCP,4998,105,331,benign
F00079,10.0.1.124,192.168.6.252,21721,445,TCP,9840,36,3494,benign
F00080,10.0.3.221,192.168.9.239,42023,443,TCP,1882,5,1798,benign
F00081,10.0.4.242,192.168.4.237,3211,443,TCP,1660,25,3208,benign
F00082,10.0.2.190,192.168.3.135,18472,443,TCP,8636,14,4664,benign
F00083,10.0.0.42,192.168.3.52,22576,80,TCP,1430,28,3429,benign
F00084,10.0.3.172,192.168.9.28,1451,80,TCP,6734,63,1047,benign
F00085,10.0.3.159,192.168.0.23,61335,80,UDP,2805,78,230,benign
F00086,10.0.3.56,203.0.113.39,46522,6667,UDP,1082285,1102,153,anomaly
F00087,10.0.3.212,192.168.7.59,13783,445,UDP,633,49,2598,benign
F00088,10.0.1.35,192.168.7.241,22795,443,TCP,7641,78,2826,benign
F00089,10.0.4.121,192.168.3.83,7749,445,TCP,3391,74,2139,benign
F00090,10.0.2.110,192.168.5.213,58030,443,UDP,5030,30,4852,benign
F00091,10.0.1.212,192.168.9.196,39071,80,UDP,5977,21,2957,benign
F00092,10.0.2.116,192.168.0.103,43338,80,TCP,9013,84,4817,benign
F00093,10.0.1.69,192.168.6.156,59311,80,UDP,2086,62,2271,benign
F00094,10.0.3.128,192.168.2.42,63250,443,TCP,4616,18,3482,benign
F00095,10.0.4.48,192.168.4.35,57623,443,TCP,2079,14,4109,benign
F00096,10.0.1.233,192.168.6.153,17132,443,UDP,546,35,1694,benign
F00097,10.0.4.87,192.168.5.216,56561,443,TCP,2275,45,3230,benign
F00098,10.0.1.32,192.168.1.134,20297,443,UDP,4935,84,967,benign
F00099,10.0.2.89,192.168.7.142,39432,80,TCP,2489,26,1370,benign
F00100,10.0.3.2,192.168.3.37,55456,443,TCP,7681,34,460,benign
F00101,10.0.3.28,192.168.1.9,15009,443,TCP,26195,57,4487,benign
F00102,10.0.2.69,203.0.113.5,31093,23,UDP,1723103,6626,733,anomaly
F00103,10.0.2.14,192.168.1.248,54607,443,UDP,7654,27,1430,benign
F00104,10.0.2.122,192.168.1.243,6930,445,TCP,16927,91,3403,benign
F00105,10.0.1.119,192.168.3.122,39256,443,TCP,8902,100,256,benign
F00106,10.0.0.89,192.168.7.108,44894,80,TCP,3984,53,3328,benign
F00107,10.0.0.61,203.0.113.33,9679,445,TCP,1341648,6844,529,anomaly
F00108,10.0.2.6,192.168.5.120,21297,80,TCP,8932,87,3332,benign
F00109,10.0.2.7,203.0.113.18,57578,445,TCP,1821756,5897,704,anomaly
F00110,10.0.2.198,192.168.1.146,8319,80,UDP,5152,116,435,benign
F00111,10.0.1.143,192.168.5.236,17486,80,TCP,5040,55,2372,benign
F00112,10.0.4.126,203.0.113.47,9827,4444,UDP,623551,4981,263,anomaly
F00113,10.0.1.86,192.168.2.50,29344,443,UDP,3742,7,1163,benign
F00114,10.0.3.87,192.168.5.33,14773,3389,UDP,4793,71,1864,benign
F00115,10.0.1.136,192.168.4.24,54072,443,TCP,1335,20,271,benign
F00116,10.0.4.248,192.168.5.157,30652,443,UDP,4372,29,3097,benign
F00117,10.0.1.163,203.0.113.49,20895,6667,UDP,838583,2292,259,anomaly
F00118,10.0.4.53,192.168.7.109,55075,80,TCP,20083,118,834,benign
F00119,10.0.4.221,192.168.0.228,38916,22,UDP,3967,95,4246,benign
F00120,10.0.3.55,192.168.0.222,3209,80,TCP,2724,4,2369,benign
F00121,10.0.4.223,192.168.8.65,35433,443,UDP,6310,69,2817,benign
F00122,10.0.2.96,192.168.2.25,40849,80,UDP,2618,20,4331,benign
F00123,10.0.0.9,192.168.7.240,9369,443,TCP,12934,98,2804,benign
F00124,10.0.0.108,192.168.3.6,29060,445,UDP,2202,67,1457,benign
F00125,10.0.4.96,192.168.4.38,57477,53,TCP,10548,72,4520,benign
F00126,10.0.1.58,192.168.5.3,54044,443,TCP,8539,110,500,benign
F00127,10.0.3.154,192.168.1.50,11413,3389,UDP,3386,65,921,benign
F00128,10.0.0.19,192.168.6.18,3795,443,UDP,3075,32,3012,benign
F00129,10.0.4.233,192.168.4.105,61561,443,UDP,5622,88,3644,benign
F00130,10.0.2.168,192.168.3.141,7351,80,TCP,18013,69,3256,benign
F00131,10.0.0.114,192.168.1.215,13308,80,ICMP,1698,24,4319,benign
F00132,10.0.0.218,192.168.0.236,30879,80,TCP,7585,100,754,benign
F00133,10.0.3.136,203.0.113.42,53334,4444,TCP,1777769,2373,397,anomaly
F00134,10.0.3.113,192.168.4.126,17613,80,TCP,2943,35,536,benign
F00135,10.0.0.225,192.168.3.253,9840,443,UDP,6034,6,4658,benign
F00136,10.0.1.226,192.168.8.125,29202,3389,TCP,608,92,4100,benign
F00137,10.0.3.18,192.168.5.133,48183,80,UDP,7987,112,4199,benign
F00138,10.0.0.65,192.168.1.19,17130,80,TCP,4005,13,786,benign
F00139,10.0.1.31,192.168.2.250,52594,53,UDP,4293,116,3760,benign
F00140,10.0.0.114,192.168.9.43,17261,443,UDP,6018,68,3322,benign
F00141,10.0.3.203,192.168.9.139,62687,80,TCP,26797,68,1446,benign
F00142,10.0.4.132,192.168.3.143,39587,80,TCP,9312,80,4075,benign
F00143,10.0.4.31,192.168.5.51,51790,443,TCP,5889,92,789,benign
F00144,10.0.2.175,192.168.2.250,48444,445,TCP,5012,1,783,benign
F00145,10.0.4.149,203.0.113.31,60054,445,TCP,1167210,3287,487,anomaly
F00146,10.0.2.200,192.168.3.225,4882,80,TCP,2227,108,4116,benign
F00147,10.0.4.106,192.168.9.249,40354,53,TCP,2572,116,680,benign
F00148,10.0.4.181,192.168.3.58,44960,443,TCP,4641,48,4423,benign
F00149,10.0.0.54,192.168.8.9,27759,443,TCP,4057,5,1480,benign
F00150,10.0.0.45,192.168.6.137,48912,80,TCP,22300,32,4843,benign
F00151,10.0.4.138,192.168.0.215,35066,443,UDP,2573,7,163,benign
F00152,10.0.2.109,203.0.113.3,57150,23,UDP,2309416,2231,710,anomaly
F00153,10.0.3.41,192.168.1.166,30456,80,UDP,3625,82,3986,benign
F00154,10.0.3.220,203.0.113.40,7222,6667,TCP,1790006,4411,622,anomaly
F00155,10.0.3.157,192.168.8.116,38266,443,UDP,6592,19,802,benign
F00156,10.0.1.106,192.168.5.42,49925,53,TCP,3354,21,1928,benign
F00157,10.0.3.45,192.168.6.54,60287,53,TCP,3434,18,197,benign
F00158,10.0.1.136,192.168.6.148,59008,443,TCP,16431,82,103,benign
F00159,10.0.3.63,192.168.6.73,31092,80,TCP,5709,6,1085,benign
F00160,10.0.2.162,192.168.1.251,14576,53,TCP,2858,46,4004,benign
F00161,10.0.0.58,192.168.7.26,51401,443,TCP,3694,77,2573,benign
F00162,10.0.0.70,192.168.7.149,21290,80,TCP,5719,73,1918,benign
F00163,10.0.1.34,192.168.3.167,27790,80,TCP,2108,90,1468,benign
F00164,10.0.1.19,192.168.5.204,7366,443,UDP,2870,98,1269,benign
F00165,10.0.2.121,192.168.9.150,10692,443,TCP,21409,119,1242,benign
F00166,10.0.4.74,192.168.5.32,47404,80,UDP,2611,77,545,benign
F00167,10.0.1.43,192.168.9.154,49375,80,TCP,2519,76,4380,benign
F00168,10.0.3.69,192.168.3.4,62776,53,TCP,1777,43,3697,benign
F00169,10.0.1.192,192.168.1.132,18678,443,TCP,2592,79,2976,benign
F00170,10.0.1.102,192.168.4.68,11466,53,TCP,3185,71,2993,benign
F00171,10.0.1.109,192.168.7.165,1745,80,TCP,9684,45,1293,benign
F00172,10.0.1.167,192.168.1.3,27200,80,TCP,2542,9,1982,benign
F00173,10.0.0.196,203.0.113.44,4271,31337,TCP,3266510,6849,272,anomaly
F00174,10.0.1.179,192.168.4.225,64900,53,TCP,4770,59,4847,benign
F00175,10.0.2.241,192.168.8.108,7060,3389,TCP,55216,55,2151,benign
F00176,10.0.1.136,192.168.5.82,16838,22,TCP,5051,89,1153,benign
F00177,10.0.4.196,192.168.2.14,48526,80,TCP,14821,20,1520,benign
F00178,10.0.1.90,192.168.5.116,15307,445,UDP,2231,20,1728,benign
F00179,10.0.0.215,192.168.3.49,12914,80,TCP,1915,48,2072,benign
F00180,10.0.0.212,192.168.6.76,35771,80,UDP,2657,52,1151,benign
F00181,10.0.2.104,192.168.7.113,9337,53,TCP,3191,116,1726,benign
F00182,10.0.4.27,192.168.4.209,8011,80,TCP,11128,88,1141,benign
F00183,10.0.0.23,192.168.3.53,48970,80,ICMP,6938,33,1267,benign
F00184,10.0.0.161,192.168.8.224,22393,80,UDP,7586,5,3928,benign
F00185,10.0.3.104,192.168.6.153,55285,443,TCP,1904,119,1260,benign
F00186,10.0.0.216,192.168.5.217,26912,443,TCP,5065,8,2744,benign
F00187,10.0.4.204,192.168.1.69,36483,53,TCP,5324,36,3548,benign
F00188,10.0.1.75,203.0.113.4,21494,4444,UDP,1390292,5029,344,anomaly
F00189,10.0.2.204,192.168.9.75,57089,80,UDP,7787,90,3030,benign
F00190,10.0.2.43,203.0.113.4,10722,23,TCP,582671,1076,311,anomaly
F00191,10.0.4.101,192.168.6.62,30137,443,TCP,1414,47,1670,benign
F00192,10.0.0.236,192.168.0.154,1318,443,UDP,3504,43,1631,benign
F00193,10.0.2.43,192.168.7.132,50722,443,TCP,3140,59,1538,benign
F00194,10.0.4.237,192.168.2.112,22233,443,UDP,7353,7,1740,benign
F00195,10.0.4.14,192.168.4.40,32131,443,TCP,854,66,3628,benign
F00196,10.0.2.50,192.168.5.251,55386,53,TCP,4427,89,2877,benign
F00197,10.0.2.253,192.168.2.39,40221,443,TCP,4103,50,2383,benign
F00198,10.0.0.190,192.168.1.136,39084,80,ICMP,7021,46,4479,benign
F00199,10.0.2.135,192.168.6.139,7041,443,TCP,2752,102,725,benign
F00200,10.0.2.186,192.168.3.125,56539,443,TCP,2988,102,4061,benign
F00201,10.0.1.247,192.168.0.175,19310,80,TCP,2385,55,3749,benign
F00202,10.0.0.173,192.168.6.133,42473,443,TCP,10867,18,1124,benign
F00203,10.0.2.111,192.168.0.127,47222,443,TCP,2700,105,2078,benign
F00204,10.0.3.225,192.168.2.118,53354,80,UDP,8834,74,535,benign
F00205,10.0.0.217,192.168.9.66,56140,80,UDP,2833,118,3875,benign
F00206,10.0.3.247,192.168.7.19,42168,80,TCP,8831,7,2961,benign
F00207,10.0.3.197,203.0.113.28,30785,6667,TCP,1111088,7259,796,anomaly
F00208,10.0.4.40,192.168.6.10,52526,53,TCP,4033,58,2584,benign
F00209,10.0.3.126,192.168.9.145,25264,80,UDP,3719,35,386,benign
F00210,10.0.0.122,192.168.7.218,36830,53,TCP,6564,48,327,benign
F00211,10.0.1.169,192.168.5.116,11460,53,TCP,9453,99,1538,benign
F00212,10.0.3.36,203.0.113.24,28497,23,TCP,919481,1487,263,anomaly
F00213,10.0.4.219,192.168.3.87,43372,80,TCP,6314,67,1891,benign
F00214,10.0.2.194,192.168.9.136,56482,80,TCP,24168,2,438,benign
F00215,10.0.2.149,192.168.2.192,9014,53,TCP,2852,38,2927,benign
F00216,10.0.2.201,192.168.1.57,25054,443,TCP,2028,114,98,benign
F00217,10.0.1.226,192.168.7.86,64293,443,TCP,4000,36,331,benign
F00218,10.0.1.125,203.0.113.25,24804,4444,TCP,803215,4705,334,anomaly
F00219,10.0.0.109,192.168.0.135,40206,53,TCP,36922,32,4311,benign
F00220,10.0.2.13,192.168.1.180,53603,53,TCP,12031,117,3763,benign
F00221,10.0.0.249,192.168.0.243,43036,3389,TCP,11917,102,4489,benign
F00222,10.0.2.116,203.0.113.6,22468,6667,UDP,1054815,5002,576,anomaly
F00223,10.0.3.86,192.168.2.193,11857,445,TCP,3842,79,2876,benign
F00224,10.0.4.144,192.168.8.208,10566,80,TCP,25076,16,564,benign
F00225,10.0.0.12,192.168.9.35,44456,443,UDP,2971,92,3235,benign
F00226,10.0.0.50,192.168.0.184,17385,53,TCP,1494,84,2961,benign
F00227,10.0.3.26,192.168.2.167,57846,443,TCP,6049,117,1455,benign
F00228,10.0.1.57,203.0.113.1,14310,4444,TCP,875104,7977,683,anomaly
F00229,10.0.4.56,192.168.2.220,11274,80,TCP,2729,103,39,benign
F00230,10.0.2.91,192.168.7.79,2110,80,UDP,3447,92,2513,benign
F00231,10.0.1.12,203.0.113.7,7620,445,UDP,581954,1013,665,anomaly
F00232,10.0.1.10,192.168.0.48,64672,3389,TCP,9456,5,4460,benign
F00233,10.0.0.129,192.168.0.38,36433,53,TCP,6198,44,529,benign
F00234,10.0.0.193,192.168.5.46,33484,80,TCP,2376,43,3696,benign
F00235,10.0.4.94,192.168.9.244,15629,80,ICMP,6987,84,4095,benign
F00236,10.0.0.131,192.168.6.131,37064,22,TCP,3662,41,2996,benign
F00237,10.0.1.176,203.0.113.39,53160,31337,TCP,1516969,1645,146,anomaly
F00238,10.0.3.74,192.168.8.86,35072,80,TCP,4478,113,2262,benign
F00239,10.0.1.172,192.168.3.235,27501,443,UDP,6843,111,57,benign
F00240,10.0.0.122,192.168.3.176,35391,80,TCP,2532,97,4639,benign
F00241,10.0.1.35,192.168.1.30,40296,443,TCP,1693,109,4418,benign
F00242,10.0.3.33,192.168.7.90,34853,80,TCP,6237,91,4271,benign
F00243,10.0.0.183,192.168.5.241,11987,80,UDP,3019,31,3436,benign
F00244,10.0.4.153,192.168.4.181,27581,445,TCP,3383,22,2346,benign
F00245,10.0.3.117,192.168.6.226,57927,80,UDP,6851,102,11,benign
F00246,10.0.2.197,192.168.1.86,22328,53,UDP,3917,89,3155,benign
F00247,10.0.4.102,192.168.0.82,46613,80,TCP,7910,35,4050,benign
F00248,10.0.4.39,192.168.8.85,35444,80,TCP,5290,115,3361,benign
F00249,10.0.0.101,192.168.5.90,49964,80,TCP,2124,83,319,benign
F00250,10.0.4.188,192.168.4.104,20494,443,UDP,2822,59,4670,benign
F00251,10.0.1.158,203.0.113.7,1852,23,TCP,1928322,4842,706,anomaly
F00252,10.0.4.100,192.168.0.102,31053,80,TCP,6014,119,4229,benign
F00253,10.0.3.231,192.168.4.222,5373,443,UDP,3800,110,392,benign
F00254,10.0.2.183,192.168.2.66,37315,80,TCP,2160,30,1717,benign
F00255,10.0.3.164,192.168.2.49,34910,443,TCP,2282,28,2452,benign
F00256,10.0.1.246,192.168.6.233,59988,443,UDP,7406,22,358,benign
F00257,10.0.2.215,203.0.113.34,24739,23,UDP,920970,4250,445,anomaly
F00258,10.0.4.16,203.0.113.27,48750,445,UDP,3251671,7611,300,anomaly
F00259,10.0.1.166,192.168.5.173,26045,80,ICMP,14360,109,3008,benign
F00260,10.0.3.219,192.168.6.162,29797,445,TCP,1479,104,670,benign
F00261,10.0.4.133,192.168.0.33,37352,443,TCP,9065,9,3736,benign
F00262,10.0.3.1,192.168.8.70,33087,53,TCP,3186,73,650,benign
F00263,10.0.1.209,192.168.7.128,14065,443,TCP,67293,42,1302,benign
F00264,10.0.0.208,192.168.7.70,35152,53,UDP,5983,1,2787,benign
F00265,10.0.0.34,192.168.7.146,18711,80,TCP,9013,14,2855,benign
F00266,10.0.2.244,192.168.9.239,11260,22,UDP,20495,36,2373,benign
F00267,10.0.2.91,192.168.0.199,13515,80,TCP,5548,36,428,benign
F00268,10.0.1.33,192.168.8.182,46758,53,UDP,16338,103,3940,benign
F00269,10.0.3.104,192.168.4.245,10477,80,UDP,3372,89,4179,benign
F00270,10.0.1.237,192.168.1.246,49045,80,UDP,6900,104,3425,benign
F00271,10.0.2.11,192.168.1.152,37607,3389,TCP,1858,44,3874,benign
F00272,10.0.2.45,203.0.113.18,47888,23,UDP,2702580,6176,251,anomaly
F00273,10.0.1.37,192.168.0.250,60943,80,TCP,4949,81,1660,benign
F00274,10.0.4.98,192.168.7.21,63586,80,TCP,6710,53,3848,benign
F00275,10.0.0.75,192.168.4.22,46798,80,TCP,2582,27,2220,benign
F00276,10.0.1.56,192.168.1.73,35471,53,TCP,6639,74,4264,benign
F00277,10.0.2.108,192.168.4.226,39349,53,UDP,1797,22,4532,benign
F00278,10.0.0.208,192.168.5.162,7030,80,TCP,4846,58,715,benign
F00279,10.0.3.73,192.168.7.50,60119,80,TCP,4730,99,1760,benign
F00280,10.0.0.119,192.168.2.12,36437,53,TCP,2267,114,3819,benign
F00281,10.0.1.202,192.168.3.103,17647,80,TCP,1566,82,800,benign
F00282,10.0.1.171,192.168.2.194,60587,80,TCP,2503,83,4858,benign
F00283,10.0.0.114,192.168.6.92,24931,80,UDP,5838,13,3428,benign
F00284,10.0.0.107,192.168.5.73,16814,80,TCP,2165,50,2598,benign
F00285,10.0.2.145,192.168.0.58,14930,80,TCP,5548,93,3690,benign
F00286,10.0.0.253,192.168.8.11,1087,80,TCP,4712,39,297,benign
F00287,10.0.0.30,192.168.2.88,4894,443,TCP,13575,21,2230,benign
F00288,10.0.1.174,192.168.0.96,3600,445,TCP,32359,50,4809,benign
F00289,10.0.3.207,203.0.113.30,4552,6667,TCP,399742,3853,365,anomaly
F00290,10.0.4.77,203.0.113.25,47245,6667,UDP,769013,6817,712,anomaly
F00291,10.0.3.48,192.168.4.23,40949,80,TCP,7362,62,2485,benign
F00292,10.0.4.16,192.168.3.192,10931,80,UDP,3966,1,2894,benign
F00293,10.0.2.117,192.168.4.143,59937,443,TCP,12395,89,3916,benign
F00294,10.0.0.82,192.168.9.100,13585,3389,TCP,2302,37,2758,benign
F00295,10.0.2.48,192.168.0.184,60677,80,TCP,2201,104,2621,benign
F00296,10.0.2.134,203.0.113.29,35130,445,UDP,1659449,7738,566,anomaly
F00297,10.0.0.69,192.168.5.10,8646,53,TCP,8758,25,631,benign
F00298,10.0.4.29,192.168.7.114,53426,80,UDP,3414,109,1792,benign
F00299,10.0.1.171,192.168.2.246,34185,80,TCP,7683,98,4375,benign
F00300,10.0.2.13,192.168.6.18,31288,443,TCP,878,24,4504,benign
F00301,10.0.0.26,192.168.4.76,51222,53,UDP,5181,32,4122,benign
F00302,10.0.1.136,192.168.8.86,54785,443,TCP,1606,40,1766,benign
F00303,10.0.2.2,192.168.7.106,57298,80,TCP,3367,54,2456,benign
F00304,10.0.0.222,192.168.9.31,52601,80,UDP,3602,29,1251,benign
F00305,10.0.2.208,203.0.113.6,36184,4444,UDP,801146,5698,296,anomaly
F00306,10.0.0.55,192.168.0.128,43043,443,TCP,3451,31,4564,benign
F00307,10.0.4.111,192.168.8.221,61121,3389,UDP,20648,31,2014,benign
F00308,10.0.2.27,203.0.113.48,51488,4444,TCP,1435286,3759,604,anomaly
F00309,10.0.4.58,192.168.8.106,40133,53,TCP,5218,78,3863,benign
F00310,10.0.4.109,192.168.3.151,9589,80,TCP,10893,49,4985,benign
F00311,10.0.0.236,192.168.8.147,60822,53,TCP,19053,14,1214,benign
F00312,10.0.4.17,192.168.0.61,52043,445,TCP,6251,104,4983,benign
F00313,10.0.2.67,192.168.6.238,51525,443,UDP,2819,92,4977,benign
F00314,10.0.0.106,192.168.3.99,39976,3389,TCP,4601,83,664,benign
F00315,10.0.3.77,192.168.2.149,45149,80,TCP,1263,55,1808,benign
F00316,10.0.3.166,192.168.8.135,29675,443,TCP,4802,3,3321,benign
F00317,10.0.0.30,192.168.6.195,8726,80,TCP,6431,78,2263,benign
F00318,10.0.0.50,192.168.9.210,21637,80,TCP,2923,83,590,benign
F00319,10.0.2.157,192.168.4.36,42306,443,TCP,4558,43,4189,benign
F00320,10.0.3.48,192.168.0.142,38136,443,UDP,5593,61,3982,benign
F00321,10.0.4.218,192.168.5.5,15174,443,TCP,3709,107,3180,benign
F00322,10.0.1.210,192.168.2.205,18909,80,TCP,16463,93,1162,benign
F00323,10.0.4.38,192.168.8.160,35106,53,TCP,3880,76,159,benign
F00324,10.0.4.112,192.168.8.218,36299,53,TCP,818,114,3971,benign
F00325,10.0.0.244,192.168.7.132,31248,80,TCP,11720,117,4198,benign
F00326,10.0.1.92,192.168.1.195,58473,22,UDP,18808,70,908,benign
F00327,10.0.3.11,192.168.6.24,53592,80,TCP,874,15,4163,benign
F00328,10.0.3.197,192.168.6.107,32991,80,TCP,9285,30,2330,benign
F00329,10.0.3.230,192.168.5.206,29748,80,TCP,8988,48,1623,benign
F00330,10.0.4.207,192.168.4.210,7316,443,UDP,2307,53,3622,benign
F00331,10.0.0.210,192.168.8.135,61634,53,TCP,6464,27,1628,benign
F00332,10.0.3.205,192.168.8.94,52785,80,TCP,2317,33,3933,benign
F00333,10.0.1.70,192.168.2.192,18997,3389,UDP,7144,54,3205,benign
F00334,10.0.0.119,192.168.4.155,55954,80,UDP,2676,62,1488,benign
F00335,10.0.0.80,192.168.6.67,13914,443,TCP,6739,116,2247,benign
F00336,10.0.1.245,192.168.5.238,2673,53,UDP,7735,70,1920,benign
F00337,10.0.1.136,192.168.7.212,61057,80,TCP,9298,58,4120,benign
F00338,10.0.0.160,192.168.2.101,37872,80,ICMP,13726,71,3473,benign
F00339,10.0.0.9,192.168.3.210,22858,443,TCP,6919,108,2719,benign
F00340,10.0.4.221,192.168.7.55,16805,443,TCP,6649,54,3483,benign
F00341,10.0.2.210,192.168.2.82,20846,80,ICMP,6515,116,3213,benign
F00342,10.0.1.113,192.168.1.186,16427,53,TCP,4141,52,3661,benign
F00343,10.0.0.77,192.168.7.12,7508,53,TCP,9783,91,3731,benign
F00344,10.0.4.88,192.168.3.152,27064,80,TCP,4189,89,4633,benign
